STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       5705;20241110;   10;   3.9;   1.4;    9;   0.0;   0;    0.000;   0;   8.0;   7.6;  996.20;    4.0;   94.00;    4.6;    3.3;    3.6;eor
       5705;20241111;   10;   6.0;   1.5;    9;   6.1;   6;    0.000;   0;   7.8;   8.1;  995.90;    4.6;   95.00;    5.6;    3.1;    3.4;eor
       5705;20241112;   10;   9.9;   2.9;    9;   0.0;   0;    0.100;   0;   7.9;   8.1;  996.30;    5.9;   87.00;    8.0;    4.1;    4.0;eor
       5705;20241113;   10;   4.2;   1.6;    9;   1.7;   6;    0.000;   0;   7.9;   7.2;  997.80;    4.0;   88.00;    5.8;    3.0;    3.0;eor
       5705;20241114;   10;   5.6;   2.1;    9;   1.0;   6;    0.000;   0;   7.9;   8.3;  994.90;    5.1;   94.00;    6.6;    3.6;    2.2;eor
       5705;20241115;   10;   3.3;   1.1;    9;   0.0;   0;    0.000;   0;   7.9;   8.7;  994.60;    6.7;   89.00;    8.2;    5.5;    4.4;eor
       5705;20241116;   10;   6.9;   2.5;    9;   0.0;   0;    0.100;   0;   7.9;   6.8;  988.30;    4.7;   80.00;    6.5;    1.8;    1.3;eor
       5705;20241117;   10;  13.5;   6.0;    9;   5.2;   6;    0.000;   0;   7.6;   7.0;  981.50;    4.3;   84.00;    5.2;    3.4;    2.4;eor
       5705;20241118;   10;  17.3;   4.2;    9;  10.1;   6;    0.000;   0;   7.2;   7.8;  979.30;    4.8;   91.00;    6.2;    3.8;    3.0;eor
       5705;20241119;   10;  22.4;   8.6;    9;  13.7;   6;    0.000;   0;   7.7;   9.2;  966.50;    7.9;   87.00;   11.1;    3.2;    2.8;eor
       5705;20241120;   10;  16.4;   6.1;    9;   0.7;   8;    0.700;   0;   7.0;   5.5;  969.50;    2.3;   76.00;    4.5;   -0.3;   -2.0;eor
       5705;20241121;   10;  11.4;   3.7;    9;   0.1;   8;    0.600;   0;   7.5;   5.1;  967.80;    0.3;   82.00;    2.3;   -1.9;   -3.5;eor
       5705;20241122;   10;  16.2;   5.9;    9;   0.4;   8;    2.300;   0;   6.3;   4.9;  973.30;    0.0;   80.00;    3.0;   -2.4;   -4.2;eor
       5705;20241123;   10;  10.6;   4.8;    9;   0.4;   6;    1.800;   0;   7.2;   5.6;  988.20;    2.8;   75.00;    4.7;    1.3;   -0.3;eor
       5705;20241124;   10;   6.7;   2.6;    9;   0.0;   0;    5.200;   0;   7.3;   8.2;  985.30;    9.3;   69.00;   15.6;    3.6;    2.4;eor
       5705;20241125;   10;  12.3;   2.2;    9;   2.1;   6;    0.600;   0;   7.9;   8.7;  980.70;    8.9;   76.00;   13.4;    4.2;    2.0;eor
       5705;20241126;   10;  10.2;   3.2;    9;   0.4;   6;    1.600;   0;   6.4;   9.5;  987.80;    8.6;   85.00;   11.7;    4.6;    2.6;eor
       5705;20241127;   10;  16.3;   4.1;    9;   0.2;   6;    2.800;   0;   6.9;   8.5;  987.90;    7.3;   84.00;   11.9;    2.3;    1.0;eor
       5705;20241128;   10;  14.2;   5.8;    9;   0.0;   6;    2.800;   0;   6.5;   7.2;  990.40;    6.9;   72.00;   10.6;    4.2;    2.4;eor
       5705;20241129;   10;   6.3;   2.0;    9;   0.0;   0;    3.700;   0;   5.0;   6.3; 1000.20;    3.5;   80.00;    7.1;   -1.0;   -4.0;eor
       5705;20241130;   10;   6.4;   2.0;    9;   0.0;   0;    8.100;   0;   3.4;   5.3;  999.00;    0.8;   83.00;    5.7;   -2.8;   -5.5;eor
       5705;20241201;   10;   7.0;   2.3;    9;   0.0;   6;    0.000;   0;   5.3;   4.9;  993.90;   -1.8;   92.00;   -0.4;   -5.3;   -7.0;eor
       5705;20241202;   10;   6.2;   1.9;    9;   3.4;   6;    0.000;   0;   7.8;   6.2;  986.90;    1.3;   92.00;    3.5;   -1.6;   -2.1;eor
       5705;20241203;   10;   9.7;   2.7;    9;   0.4;   6;    0.100;   0;   6.5;   7.5;  986.30;    4.3;   90.00;    6.7;    1.7;   -1.5;eor
       5705;20241204;   10;   5.6;   1.6;    9;   0.0;   0;    0.500;   0;   6.3;   6.0;  993.30;    1.3;   89.00;    3.6;   -1.4;   -3.8;eor
       5705;20241205;   10;   9.2;   3.2;    9;   6.1;   6;    4.000;   0;   7.3;   5.9;  990.40;    1.7;   86.00;    4.6;   -0.4;   -1.4;eor
       5705;20241206;   10;  21.4;   8.7;    9;   0.8;   6;    0.200;   0;   7.4;   7.5;  977.80;    6.5;   78.00;    8.3;    4.0;    3.5;eor
       5705;20241207;   10;  10.5;   4.4;    9;   8.6;   6;    0.000;   0;   7.5;   7.2;  974.50;    4.2;   88.00;    6.6;    1.7;    0.5;eor
