MESS_DATUM,FM,FX,PM,TMK,TXK,TNK
1970-01-01,2.4,6.7,971.8,-7.7,-5.6,-8.8
1970-01-02,4.7,14.6,973.5,-3.2,-2.4,-8.1
1970-01-03,5.0,15.0,970.6,0.0,0.8,-2.4
1970-01-04,2.3,7.3,968.0,0.1,1.6,-0.8
1970-01-05,4.1,10.5,958.7,-0.9,-0.3,-1.7
1970-01-06,2.1,5.1,975.9,-5.2,-1.2,-8.0
1970-01-07,2.3,9.4,985.0,-2.2,-0.3,-8.9
1970-01-08,3.8,11.6,990.2,-5.7,-2.4,-8.8
1970-01-09,6.6,13.8,985.9,-2.6,-2.1,-5.7
1970-01-10,5.1,12.1,978.2,-0.6,-0.1,-2.3
1970-01-11,1.7,6.5,970.7,-1.1,1.6,-4.1
1970-01-12,1.0,6.2,967.0,-2.2,2.1,-4.3
1970-01-13,0.5,2.9,971.5,-5.2,-2.2,-8.8
1970-01-14,0.9,4.8,971.8,-2.7,-1.3,-7.0
1970-01-15,0.8,3.7,969.4,-1.4,-0.4,-4.0
1970-01-16,0.4,3.0,975.8,0.8,1.2,-0.8
1970-01-17,1.5,6.1,985.8,0.2,1.2,-0.4
1970-01-18,2.4,6.6,990.8,-3.0,0.1,-3.8
1970-01-19,1.8,4.9,994.6,-6.2,-3.8,-6.9
1970-01-20,2.5,7.0,993.6,-8.6,-6.4,-9.8
1970-01-21,2.9,6.9,990.0,-4.8,-3.7,-9.8
1970-01-22,3.4,7.0,987.8,-4.0,-3.4,-4.6
1970-01-23,3.0,9.9,984.0,-1.0,1.0,-4.4
1970-01-24,3.5,7.5,980.3,2.6,3.9,-1.4
1970-01-25,3.3,8.5,983.2,2.3,3.9,1.6
1970-01-26,1.9,6.4,985.0,2.0,3.2,0.6
1970-01-27,2.2,9.2,986.3,2.8,4.4,1.3
1970-01-28,2.2,5.0,991.0,1.6,5.6,0.3
1970-01-29,1.5,5.5,986.3,-2.6,1.0,-6.9
1970-01-30,4.6,10.8,974.8,-1.6,-0.9,-3.3
1970-01-31,3.5,10.5,987.8,-6.0,-1.4,-8.0
1970-02-01,0.8,4.0,986.6,-12.2,-7.7,-16.4
1970-02-02,1.7,9.6,975.0,-3.8,1.2,-15.6
